route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,date
FLIXBUS:734,FLIXBUS,FlixBus,Clermont Ferrand - Marseille,,3,,,,2017-02-13
FLIXBUS:736,FLIXBUS,FlixBus,Konstanz - ZH - Lyon,,3,,,,2017-02-13
FLIXBUS:739,FLIXBUS,FlixBus,Genf  - Marseille,,3,,,,2017-02-13
FLIXBUS:741,FLIXBUS,FlixBus,Nantes - Limoges - Toulouse,,3,,,,2017-02-13
FLIXBUS:742,FLIXBUS,FlixBus,Paris-Rouen-Dieppe,,3,,,,2017-02-13
FLIXBUS:747,FLIXBUS,FlixBus,Saint Étienne - Paris,,3,,,,2017-02-13
FLIXBUS:748,FLIXBUS,FlixBus,Montpellier - Lyon,,3,,,,2017-02-13
FLIXBUS:749,FLIXBUS,FlixBus,Paris - Marseille - Aubagne,,3,,,,2017-02-13
FLIXBUS:753,FLIXBUS,FlixBus,Dunkerque - Paris,,3,,,,2017-02-13
FLIXBUS:755,FLIXBUS,FlixBus,Béthune - Lens - Paris,,3,,,,2017-02-13
FLIXBUS:756,FLIXBUS,FlixBus,Sedan - Reims - Paris,,3,,,,2017-02-13
FLIXBUS:757,FLIXBUS,FlixBus,Tourcoing - Paris,,3,,,,2017-02-13
FLIXBUS:759,FLIXBUS,FlixBus,Paris - Genf,,3,,,,2017-02-13
FLIXBUS:768,FLIXBUS,FlixBus,Nizza (Nice) - Toulouse,,3,,,,2017-02-13
FLIXBUS:770,FLIXBUS,FlixBus,Strasbourg - Lille,,3,,,,2017-02-13
FLIXBUS:778,FLIXBUS,FlixBus,Toulouse - Montpellier,,3,,,,2017-02-13
FLIXBUS:790,FLIXBUS,FlixBus,Forbach-Paris-Tours,,3,,,,2017-02-13
FLIXBUS:800,FLIXBUS,FlixBus,Amsterdam - ANT - Paris,,3,,,,2017-02-13
FLIXBUS:801,FLIXBUS,FlixBus,Maastricht - Brüssel - Paris,,3,,,,2017-02-13
FLIXBUS:802,FLIXBUS,FlixBus,Amsterdam - LIL - Paris,,3,,,,2017-02-13
FLIXBUS:803,FLIXBUS,FlixBus,Den Haag - Paris,,3,,,,2017-02-13
FLIXBUS:810,FLIXBUS,FlixBus,Amsterdam - Brüssel,,3,,,,2017-02-13
FLIXBUS:813,FLIXBUS,FlixBus,Den Haag - Brüssel,,3,,,,2017-02-13
FLIXBUS:815,FLIXBUS,FlixBus,Cologne - Brussels - London,,3,,,,2017-02-13
FLIXBUS:821,FLIXBUS,FlixBus,Groningen - Leverkusen,,3,,,,2017-02-13
FLIXBUS:822,FLIXBUS,FlixBus,Groningen - Eindhoven,,3,,,,2017-02-13
FLIXBUS:827,FLIXBUS,FlixBus,Amsterdam - Köln (Leverkusen),,3,,,,2017-02-13
FLIXBUS:900,FLIXBUS,FlixBus,Frankfurt - München - Zagreb,,3,,,,2017-02-13
FLIXBUS:901,FLIXBUS,FlixBus,Wien - Bratislava ✈,,3,,,,2017-02-13
FLIXBUS:902,FLIXBUS,FlixBus,Wien - Budapest,,3,,,,2017-02-13
FLIXBUS:903,FLIXBUS,FlixBus,Zagreb - Wien - Prag,,3,,,,2017-02-13
FLIXBUS:905,FLIXBUS,FlixBus,Wien - Zagreb,,3,,,,2017-02-13
FLIXBUS:907,FLIXBUS,FlixBus,Wien - Venedig,,3,,,,2017-02-13
FLIXBUS:920,FLIXBUS,FlixBus,Zagreb - Dubrovnik,,3,,,,2017-02-13
FLIXBUS:922,FLIXBUS,FlixBus,Zagreb - Sibenik - Split,,3,,,,2017-02-13
FLIXBUS:923,FLIXBUS,FlixBus,Zagreb - Zadar - Sibenik,,3,,,,2017-02-13
FLIXBUS:924,FLIXBUS,FlixBus,Zagreb - Jastrebarsko - Split,,3,,,,2017-02-13
FLIXBUS:928,FLIXBUS,FlixBus,Zagreb - Biograd na Moru,,3,,,,2017-02-13
FLIXBUS:932,FLIXBUS,FlixBus,Zadar - Plitvicka Jezera,,3,,,,2017-02-13
FLIXBUS:943,FLIXBUS,FlixBus,München - Ljubljana - Pula,,3,,,,2017-02-13
FLIXBUS:945,FLIXBUS,FlixBus,Pula - Padova,,3,,,,2017-02-13
FLIXBUS:959,FLIXBUS,FlixBus,Salzburg - Wien - Bukarest,,3,,,,2017-02-13
FLIXBUS:976,FLIXBUS,FlixBus,Budapest - Zagreb,,3,,,,2017-02-13
FLIXBUS:997,FLIXBUS,FlixBus,Zagreb - Bologna - Rom,,3,,,,2017-02-13
FLIXBUS:K471,FLIXBUS,FlixBus,Wien - Klagenfurt,,3,,,,2017-02-13
FLIXBUS:K472,FLIXBUS,FlixBus,Wien Erdberg - Wien Flughafen,,3,,,,2017-02-13
FLIXBUS:K473,FLIXBUS,FlixBus,Graz - Salzburg,,3,,,,2017-02-13
FLIXBUS:K474,FLIXBUS,FlixBus,Linz - Graz,,3,,,,2017-02-13
FLIXBUS:K476,FLIXBUS,FlixBus,Linz - Prag,,3,,,,2017-02-13
FLIXBUS:K479,FLIXBUS,FlixBus,Berlin - Aarhus,,3,,,,2017-02-13
FLIXBUS:K480,FLIXBUS,FlixBus,Praha - Ostrava - Kosice,,3,,,,2017-02-13
FLIXBUS:K482,FLIXBUS,FlixBus,Prag - Český Krumlov,,3,,,,2017-02-13
FLIXBUS:K483,FLIXBUS,FlixBus,Košice - Mukačevo,,3,,,,2017-02-13
FLIXBUS:K485,FLIXBUS,FlixBus,Wien - Salzburg,,3,,,,2017-02-13
FLIXBUS:K487,FLIXBUS,FlixBus,Genova - Palermo,,3,,,,2017-02-13
